p.site	p.analysis	p_value	mean.group. 1	mean.group. 2	sd.group. 1	sd.group. 2
Myeloid monocyte CD14 FOLR3lo	biopsy	cell_proportions_Myeloid	0.787670933618544	13.3559946020769	12.7856369859317	13.9432476700378	6.44485048331189
Myeloid monocyte CD14CD16	biopsy	cell_proportions_Myeloid	0.185361547530919	1.07495798200012	1.93951622456257	0.939392145021705	1.05188787645711
Myeloid monocyte CD16	biopsy	cell_proportions_Myeloid	0.00631697125323409	1.23972010552779	3.69715898944828	0.93627914301397	1.08178008249109
Myeloid monocyte conv	biopsy	cell_proportions_Myeloid	0.070996331910035	4.70506007970601	8.36371549337649	2.75800110560641	2.65929184653895
Myeloid monocyte nonconv	biopsy	cell_proportions_Myeloid	0.197825218921816	0.573520219245011	1.12526810589712	0.553858406915553	0.784033194673306
Acinar	biopsy	cell_proportions_Non-immune	0.791799023003077	11.6086191842039	6.79011174783193	21.5009802068244	9.01995672602764
Centroacinar	biopsy	cell_proportions_Non-immune	0.866908329116271	0.11313550333514	0.0889980964931547	0.198999358272917	0.106517759657707
Endocrine	biopsy	cell_proportions_Non-immune	0.134190616155261	3.2539850493322	0.532194057863946	3.47546218803369	0.405804749886283
Endothelial cell	biopsy	cell_proportions_Non-immune	0.180653790293124	2.86762952628466	6.34445736743672	1.91392815782266	5.18489987803428
Epithelial	biopsy	cell_proportions_Non-immune	0.873862608658505	70.3876906812874	72.6470850055574	24.3580427375313	25.0244017129752
Fibroblast	biopsy	cell_proportions_Non-immune	0.643607468354737	8.85069347622886	10.0593864185452	9.31615873572727	8.19174717331451
Stellate cell	biopsy	cell_proportions_Non-immune	0.768366984736555	2.91824657932783	3.53776730627159	4.43561354264247	3.82877832212939
NK cell iNKTs	biopsy	cell_proportions_T cells	2	0	0	0	0
NK cell NK active	biopsy	cell_proportions_T cells	0.449959247286003	3.44060808229967	1.35855518353865	4.39697160317433	0.80198576436545
NK cell NK CD56bright	biopsy	cell_proportions_T cells	0.740561898139917	2.13853434223598	1.60518804790756	2.83068705447306	1.5342625623467
NK cell NK like NK cell	biopsy	cell_proportions_T cells	0.296464091121031	2.22060731392719	1.44543724945424	1.17048503340751	0.840929587209003
NK cell NK mature	biopsy	cell_proportions_T cells	0.453108894111324	5.16152980806002	2.61451821357037	4.47094062916352	1.76452479565681
NK cell NK terminal	biopsy	cell_proportions_T cells	0.200398047901647	2.48154145451747	1.42367726240822	1.33383711164652	1.28662524573701
NK cell NK transitional	biopsy	cell_proportions_T cells	0.164212817074417	3.83314796832111	1.57279445600795	3.50774930092561	1.40195666961247
T cell CD4 CM	biopsy	cell_proportions_T cells	0.135214349641795	5.22729402330145	7.58896991333694	2.77555091017116	0.934410852831192
T cell CD4 CM Activated	biopsy	cell_proportions_T cells	0.983279112548083	0.828529017204497	0.590487967290382	0.802419648734844	0.282091542901265
T cell CD4 EM	biopsy	cell_proportions_T cells	0.148599244739864	2.79118927051372	3.76069906526225	1.16765611861829	0.563259306559798
T cell CD4 Exhausted	biopsy	cell_proportions_T cells	0.646506746790486	1.32006573154022	1.16338108469045	1.05410281773748	1.26824764617651
T cell CD4 Naive	biopsy	cell_proportions_T cells	0.46223366959085	12.3017183373829	15.9440362581368	10.4342756196337	8.68196155792228
T cell CD4 Senescent	biopsy	cell_proportions_T cells	0.498520897605655	1.01537081737143	0.308055949595158	1.44358003722187	0.347390616322721
T cell CD4 Tfh	biopsy	cell_proportions_T cells	0.0253025403269181	1.78661920790453	2.76694642424056	0.560344513493814	0.550646308599437
T cell CD4 Tfh Activated	biopsy	cell_proportions_T cells	0.782813860442373	1.82825045261668	1.64972891279624	0.910127438437462	0.71764806272681
T cell CD4 Th1	biopsy	cell_proportions_T cells	0.281232373126427	0.467946347139297	0.8278430126727	0.661457817359654	0.627165026719353
T cell CD4 Th17	biopsy	cell_proportions_T cells	0.291043198292952	4.03712950847361	6.12053845004473	1.44811304734491	3.40485043401812
T cell CD4 Th17 Activated	biopsy	cell_proportions_T cells	0.481202401780114	3.44028565717729	2.69479988652229	1.70165518058925	1.06889343979406
T cell CD4 Th2	biopsy	cell_proportions_T cells	0.483844999340773	4.42020224986336	5.10276051002882	1.59276446612615	1.39231199716617
T cell CD4 Treg	biopsy	cell_proportions_T cells	0.822991911283108	2.5374665998492	2.68358627711629	1.36267818673416	1.20584686884087
T cell CD4 Treg Activated	biopsy	cell_proportions_T cells	0.33799305304258	1.92751934842306	1.34866609150554	0.895593826432492	0.81220883361525
T cell CD8 CM Activated	biopsy	cell_proportions_T cells	0.915773315419586	1.44995400774423	1.17402194463656	0.929763912230584	0.526075407742974
T cell CD8 EM	biopsy	cell_proportions_T cells	0.217068339078802	7.50152898822671	10.6569991523758	2.90393999724038	4.31835277160761
T cell CD8 EM Activated	biopsy	cell_proportions_T cells	0.623683618249823	2.06025887732672	2.34626585702193	1.11589126183072	0.997807929894558
T cell CD8 EMRA	biopsy	cell_proportions_T cells	0.526086870996066	2.87997176109086	3.33647250380056	1.60047218257347	1.06340557149094
T cell CD8 Exhausted	biopsy	cell_proportions_T cells	0.311956528684436	9.69846366734388	6.91759143432259	4.68897097251209	3.89207191052974
T cell CD8 Naive	biopsy	cell_proportions_T cells	0.500033671165942	2.72065780143855	4.1214551524816	1.77853522316904	3.34276812043951
T cell CD8 Senescent	biopsy	cell_proportions_T cells	0.890747420087911	2.84239092426918	1.89153759695185	3.75260614455406	1.60609709095226
T cell gdT	biopsy	cell_proportions_T cells	0.389598778610049	5.33040213673311	2.6672497915198	6.80996943486843	3.27132502101337
T cell MAIT	biopsy	cell_proportions_T cells	0.0589791279814937	2.31081629770404	4.31773635076321	0.871905567075428	2.30250017997315
