	01_PDAC10_biopsy_CD45p1	01_PDAC11_biopsy_CD45p1	01_PDAC12_biopsy_CD45p1	01_PDAC1_biopsy_CD45p1	01_PDAC1_biopsy_CD45p2	01_PDAC2_biopsy_CD45p1	01_PDAC3_biopsy_CD45p1	01_PDAC4_biopsy_CD45p1	01_PDAC5_biopsy_CD45p1	01_PDAC6_biopsy_CD45p1	01_PDAC8_biopsy_CD45p1	01_PDAC9_biopsy_CD45p1	02_PDAC10_biopsy_CD45p2	02_PDAC11_biopsy_CD45p2	02_PDAC12_biopsy_CD45p2	02_PDAC1_blood_CD45p1	02_PDAC2_biopsy_CD45p2	02_PDAC3_biopsy_CD45p2	02_PDAC6_biopsy_CD45p2	02_PDAC8_biopsy_CD45p2	02_PDAC9_biopsy_CD45p2	03_PDAC10_blood_CD45p1	03_PDAC11_blood_CD45p1	03_PDAC12_blood_CD45p1	03_PDAC2_blood_CD45p1	03_PDAC3_blood_CD45p1	03_PDAC4_blood_CD45p1	03_PDAC5_blood_CD45p1	03_PDAC6_blood_CD45p1	03_PDAC8_blood_CD45p1	03_PDAC9_blood_CD45p1	04_PDAC7_biopsy_CD45p1	05_PDAC7_biopsy_CD45p2	07_PDAC7_blood_CD45p1	06_HC1_blood_CD45p1	07_HC2_blood_CD45p1	HC_10X1	HC_10X2	HC_10X3	vdj_v1_hs_pbmc4	vdj_v1_hs_pbmc5
Myeloid DC cDC CD1C+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	10	64	4	24	51	73	128	45	33	1	0	0	21	7	6	47	59	59	53	97
Myeloid DC moDC	26	170	54	3	9	33	1	60	18	7	89	4	23	182	48	2	27	2	5	72	6	6	29	3	12	19	33	240	7	12	0	26	32	13	1	1	1	9	9	9	19
Myeloid DC moDC HLAhi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	2	31	207	4	0	0	0	0	0	0	0	3	3	0	2
Myeloid DC mregDC	4	14	19	0	0	2	0	22	5	0	3	2	3	12	23	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	10	0	0	0	0	0	0	0	0
Myeloid DC pDC	0	10	0	0	0	0	3	41	10	0	0	7	0	7	1	23	1	4	2	0	16	1	20	1	17	20	25	59	19	6	5	1	1	4	15	5	23	44	44	25	42
Myeloid Mast	1	261	6	4	1	39	0	100	8	0	4	3	1	243	3	0	45	3	0	8	2	0	0	0	0	0	0	0	0	0	0	119	109	0	0	0	0	0	0	0	0
Myeloid Mast activated	26	447	26	25	31	41	5	638	44	2	24	64	34	411	19	0	47	10	2	18	88	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0	0	0
Myeloid granulocyte	104	75	67	8	15	74	0	216	116	6	32	128	121	89	59	0	81	4	5	32	126	0	0	0	0	0	0	0	0	0	0	90	44	0	0	0	0	0	0	0	0
Myeloid megakaryocyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	1	5	5	0	0	0	0	0	0	0	0	0	0
Myeloid momac CES1	2	8	5	0	3	22	0	73	1	0	48	5	4	8	5	0	20	0	0	62	5	0	0	0	0	0	0	0	0	0	0	10	4	0	0	0	0	0	0	0	0
Myeloid momac FCN1	6	87	24	0	0	152	0	218	11	0	66	4	3	81	29	0	130	0	0	58	3	0	0	0	0	0	0	0	0	0	0	50	15	0	0	0	0	0	0	0	0
Myeloid momac FCN1 cycling	4	4	8	1	1	63	2	7	5	0	10	4	6	4	14	0	52	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Myeloid momac FOLR2	64	88	22	26	23	22	3	267	50	2	380	30	83	90	21	0	24	0	3	366	36	0	0	0	0	0	0	0	0	0	0	161	108	0	0	0	0	0	0	0	0
Myeloid momac FOLR2 cycling	6	40	3	2	3	2	0	26	4	0	152	0	4	20	4	0	0	0	0	133	2	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	0	0	0	0
Myeloid momac PLIN2	3	20	11	0	1	234	0	523	12	0	134	1	5	26	7	0	237	0	0	116	3	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	0	0	0
Myeloid momac RETN	0	1	0	0	0	71	0	0	1	0	0	0	0	1	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	0
Myeloid momac TREM2	24	62	21	12	11	20	0	155	16	1	525	14	17	49	29	0	7	0	0	513	13	0	0	0	0	0	0	0	0	0	0	21	13	0	0	0	0	0	0	0	0
Myeloid momac TREM2 cycling	9	32	2	0	1	5	0	51	4	0	49	5	14	39	2	0	2	0	0	37	10	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
Myeloid monocyte CD14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	113	182	56	964	210	153	5114	1361	196	254	0	0	325	17	52	1516	1498	1498	417	978
Myeloid monocyte CD14 FOLR3lo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1264	0	0	0	0	0	86	282	47	316	817	933	439	3	584	112	0	0	291	51	74	345	553	553	305	547
Myeloid monocyte CD14CD16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	11	63	17	114	139	141	291	2	39	77	0	0	33	0	6	20	30	30	17	33
Myeloid monocyte CD16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	11	78	54	150	191	166	841	272	76	26	0	0	8	35	71	806	452	452	168	399
Myeloid monocyte conv	30	3	50	4	5	9	2	14	54	0	4	5	39	2	49	0	6	60	1	3	10	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0
Myeloid monocyte nonconv	3	1	10	0	0	7	1	10	11	0	1	6	4	2	5	0	3	22	1	2	4	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
NK cell NK CD56bright	6	4	1	6	4	5	1	7	23	1	9	2	5	5	3	60	2	2	0	7	4	49	49	51	39	18	85	75	17	14	76	6	4	46	38	40	30	29	30	42	77
NK cell NK active	63	5	2	6	4	3	9	13	30	0	15	3	72	6	1	593	4	15	1	9	8	586	429	94	362	83	130	147	245	139	558	25	10	81	177	100	61	76	77	235	358
T cell NK like	8	6	26	10	9	9	48	17	42	11	13	26	15	12	46	18	5	34	16	9	48	11	123	218	196	9	62	13	30	6	226	9	2	0	0	0	0	0	0	0	0
NK cell NK mature	21	13	7	0	1	3	3	21	80	6	9	3	37	11	5	261	4	23	1	8	5	239	644	147	433	202	237	310	450	104	372	9	8	134	258	344	171	119	120	169	296
NK cell NK terminal	12	1	2	0	0	1	2	4	13	2	1	1	5	2	1	19	1	1	2	2	1	68	53	17	44	19	18	44	151	12	42	1	0	12	18	17	10	9	7	43	91
NK cell NK transitional	59	43	15	26	18	16	79	122	56	5	70	33	78	52	18	45	12	70	12	77	32	59	41	33	149	45	48	49	31	15	61	33	23	26	60	46	7	53	53	78	114
NK cell iNKTs	0	0	0	0	0	0	3	0	1	0	0	1	1	1	2	0	0	1	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	3	10	0	5	3	5
T cell CD4 CM	37	40	72	15	22	22	89	68	194	81	15	25	49	31	72	117	14	88	82	15	23	127	407	135	125	133	231	234	93	93	216	47	41	23	501	737	125	272	279	257	416
T cell CD4 CM Activated	1	2	1	0	0	5	2	2	1	3	25	1	3	3	2	0	1	0	2	38	1	3	23	5	3	1	9	37	5	17	11	6	2	3	0	0	0	0	0	0	0
T cell CD4 EM	98	39	40	34	31	37	79	59	117	174	21	21	84	68	65	110	26	77	173	9	23	78	229	43	72	56	127	121	130	35	113	35	46	20	63	93	65	110	105	58	123
T cell CD4 Exhausted	67	56	19	13	10	4	109	22	72	15	13	10	71	67	16	3	6	112	11	7	2	1	10	0	4	4	2	3	1	0	5	39	32	0	0	0	0	0	0	0	0
T cell CD4 Naive	114	82	321	78	58	40	172	127	447	257	28	58	148	97	344	1083	40	230	251	31	81	866	5629	1645	609	1204	3390	1407	593	733	1505	223	126	280	1944	3105	199	522	519	1029	1650
T cell CD4 Senescent	2	1	0	4	7	4	1	3	11	0	5	6	4	1	1	164	3	1	0	1	13	35	11	178	341	108	114	16	59	14	427	5	2	4	0	0	0	0	0	0	1
T cell CD4 Tfh	119	202	244	99	101	26	593	278	992	249	35	162	149	233	264	27	33	554	276	32	208	61	217	65	69	131	125	101	81	40	100	296	217	18	185	203	145	251	247	189	300
T cell CD4 Tfh Activated	34	61	43	4	9	5	257	44	189	42	7	18	47	76	40	18	7	252	48	6	16	19	74	23	20	43	45	39	25	14	27	53	43	5	63	69	17	32	33	39	60
T cell CD4 Th1	2	6	2	5	4	6	4	3	13	1	6	2	6	8	0	155	5	1	0	6	3	60	34	118	284	86	100	29	56	20	397	8	4	7	0	1	0	0	0	0	1
T cell CD4 Th17	163	116	69	49	36	43	152	148	199	94	54	48	154	118	88	126	43	168	94	52	65	153	591	174	199	242	248	447	134	106	275	176	120	43	440	335	165	297	291	437	695
T cell CD4 Th17 Activated	45	70	59	7	17	10	61	72	140	31	26	22	61	93	67	11	14	62	36	27	25	14	38	32	33	17	22	69	35	19	32	53	39	4	24	33	94	16	16	22	43
T cell CD4 Th2	144	200	206	68	68	70	360	286	462	156	102	100	192	225	218	131	68	364	191	86	133	173	522	154	216	300	303	477	183	129	279	304	189	44	320	235	62	212	218	321	509
T cell CD4 Treg	74	289	138	34	37	30	251	220	243	116	54	44	95	311	112	61	35	243	136	52	54	101	309	72	106	112	138	142	67	57	107	170	123	19	164	161	119	147	150	173	286
T cell CD4 Treg Activated	75	311	143	30	31	41	215	289	179	91	88	24	123	346	136	25	42	202	104	75	29	59	97	33	49	51	57	48	38	22	24	191	140	10	49	36	24	25	25	41	57
T cell CD8 CM Activated	9	4	1	3	3	9	3	15	5	1	4	2	8	5	2	138	8	1	3	6	3	4	9	3	30	35	17	49	3	2	51	4	5	3	0	0	2	0	0	0	0
T cell CD8 EM	962	331	1324	645	629	218	1741	844	1691	786	236	438	950	439	1423	843	229	1733	829	193	539	167	546	312	979	321	485	228	294	75	790	453	334	36	441	279	144	334	267	412	655
T cell CD8 EM Activated	243	176	280	176	188	61	919	288	744	203	107	233	303	179	288	24	64	827	208	101	267	25	84	32	130	86	48	40	20	5	79	221	116	5	77	42	132	76	43	104	153
T cell CD8 EMRA	54	28	91	71	51	39	107	63	134	117	44	28	77	33	116	966	35	61	119	24	38	359	355	734	1264	677	744	130	592	127	1466	95	51	45	399	456	170	142	133	158	238
T cell CD8 Exhausted	235	81	53	25	19	15	243	66	134	29	31	8	285	70	57	4	30	258	31	26	13	6	13	6	20	9	12	9	5	6	16	15	6	2	33	33	31	34	34	20	45
T cell CD8 Naive	11	7	19	5	6	8	27	12	57	5	4	6	19	4	24	82	10	44	14	4	7	37	332	370	81	178	488	175	37	68	188	11	5	16	588	237	416	228	227	522	914
T cell CD8 Senescent	75	7	26	18	16	12	43	34	33	9	16	27	77	15	29	259	15	120	9	7	33	113	44	270	553	304	266	17	170	39	634	18	20	13	577	448	18	31	31	49	88
T cell MAIT	35	59	21	1	3	6	46	28	83	5	23	10	51	57	12	1	1	46	6	20	12	6	102	16	5	15	4	26	6	6	43	11	11	1	268	35	568	170	277	190	304
T cell gdT	31	54	6	7	2	9	20	71	11	1	58	7	33	57	6	2	8	28	3	61	8	6	4	1	14	2	4	4	6	2	6	66	47	1	0	0	0	0	0	0	0
